"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_UP","NAKAYA_PBMC_FLUMIST_AGE_18_50YO_7DY_UP",441,-0.604686922926241,-3.23521720205287,2.81439406848879e-59,1.42549059568957e-55,1.18500802883739e-56,5286,"tags=63%, list=26%, signal=48%","Cog2/Hyou1/Sap30/Rabgap1/Adcy9/Fzd2/Mtx2/Atp8b1/Cdk8/Def6/Gart/Coq9/Pfkp/Tes/Rfc2/Gstk1/Wsb1/Cpm/Ss18/Tk2/Ldlrap1/Atp6v1c1/Cd2/Eif3j1/Ruvbl2/Samm50/Plcb1/Nfyc/Rapgef6/Rnf213/Ikzf1/Ak2/Samd9l/Sos1/Shmt2/Slc25a11/Slc46a3/Got2/Aimp2/Map3k7/Mapkap1/Rab27a/Abcf2/Ncbp2/Stam2/Preb/Xiap/Nipbl/Acaa1a/Iqgap2/Mtrex/Cacybp/Prdx3/Rad50/Ccnd3/St6gal1/Gzma/Scamp1/Pam/Fnta/Appbp2/Coq5/Atp6v1d/Fh1/Pitpnb/Dars/Mccc2/Rars/Msh2/Rala/Tm7sf3/Ccr2/Auh/Tgfbi/Slc26a2/Xpo1/Tars/Ip6k2/Ttc37/Il17ra/Cul4a/Nnt/Mta1/Hs2st1/Gmpr2/Eif2s2/Dhx16/Gsr/Itgal/Clns1a/Lonp1/Dnm1l/Rpe/Pmm2/Stip1/Aifm1/Fbxw11/Rap1gds1/Ncoa6/Adsl/Eci2/Iars/Sucla2/Rasa1/Tnip1/Wdr33/C3ar1/Dnmt1/Zc3h14/Pcm1/Ide/Nudt9/Psmd1/Bmp2k/Numb/Trp53/Srsf3/Stx12/Itga4/Notch2/Ext2/Rac2/Atp2b4/Ptpn6/Nmt1/Fbxo9/Rps6ka3/Yif1a/Srprb/Sdhc/Sf3b3/Ndufs1/Nelfb/Cntrl/Flt4/Ndufa8/Klhdc3/Bcl2/Dcps/Ipo7/Sp1/Stab1/Uqcrc1/Hdlbp/Adh5/Retreg1/Gtf2h5/Itgb2/Psmc4/Hdac2/Prep/Septin9/Vbp1/Uso1/Capg/Prdx1/Mef2a/Dock10/Map3k20/Metap1/Flii/Aldh3b1/Hook3/Nek7/Rbm5/Syngr2/Sh3bp5/Uba7/Cnot6/Cct6a/Rhob/Ndufv3/Fyn/Pura/Hadh/Cul1/Hmox2/Rps6ka1/Vdac3/Cct7/Abcd3/Cltc/Immt/Med13l/Mapk1/Stx7/Timm13/Atp2c1/Eprs/Irf8/Eif2s1/Acly/Syncrip/Sec11a/Atp6v0e/Ppp1r2/Aldh3a2/Dock9/Mon2/Hsd17b4/Cbx1/Rer1/Ugp2/Ppp2cb/Exoc4/Lonp2/Tmpo/M6pr/Srsf7/Acsl5/Esyt1/Idh1/Acat1/Smc1a/Comt/Luc7l3/Cops5/Sec31a/Crebbp/Cct4/Pafah1b1/Cab39/Dram2/Spop/Ssr1/Cdk4/Ostc/Ech1/Reep5/Psma7/Psmd14/Lgals3/Copb2/Hadha/Actr3/Snrpd3/Akap13/Gls/Cyb5b/Galnt1/Copa/G3bp1/Icam2/Tardbp/Agpat3/Cct3/Klf6/Cct5/Samhd1/Ssr3/Eif3b/Ogdh/Atp6ap1/Ctsb/Fads1/Tmed10/Jun/Mtch2/Timp2/Clic3/Srsf1/Eif1/Huwe1/Mgst1/Fus/Ctsc/Serbp1/Clta/Anxa2/Ctnna1/Pdia6/Ahnak/Eif4a1/Vamp8/Canx/Dpysl2/Arf1/Aplp2/Lgals1/Ctsh","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP","NAKAYA_PLASMACYTOID_DENDRITIC_CELL_FLUMIST_AGE_18_50YO_7DY_UP",433,-0.594270774881104,-3.17858866803447,6.41280709789518e-54,1.62404339754195e-50,1.35006465218846e-51,5130,"tags=58%, list=26%, signal=44%","Acaca/Lsm1/Gadd45a/Slc38a1/Snapc5/Wsb1/Hmgcs1/Syk/Dad1/Itpr2/Cse1l/Eif3j1/Ndst2/Ruvbl2/Nfyc/Mrps15/Dap3/Ak2/Shmt2/Sesn1/Cul5/Aimp2/Map3k7/Ada/Isca1/Hspa13/Ncbp2/Gpx7/Stam2/Cyfip1/Slc1a4/Usp1/Sc5d/Nipbl/Paxip1/Nck2/Pex13/Fdft1/Ubr7/Slc35a3/Wipi1/Ccnd3/Tpd52/Nod1/Appbp2/Il13ra1/Dars/Snap23/Topbp1/Apc/Ykt6/Kars/Ccr2/Sidt2/Rab5a/Tank/Xpo1/Dgka/Asf1a/Sec22b/Ttc37/Cul4a/Csrp2/Eif2s2/Atxn1/Oxsr1/Rsl1d1/Rxrb/Rpe/Prelid3b/Ptpn11/Timm17a/Uba2/Ncoa6/Iars/Prdx4/Akt3/Eno1/Nop56/Aff1/Rasa1/Ccnd2/Il4ra/Cnot9/Hspd1/Arfgef2/Cd55/Usp15/Hmgcr/Pygb/Zc3h14/Afg3l2/Nfx1/Pcm1/Gmfb/Bmp2k/Marchf6/Hsph1/Itga4/Plaat3/Irf2/Rps6ka3/Itgav/Srprb/Pgm1/Fech/Dr1/Jak2/Flot2/Cntrl/Clip1/Ipo7/Atp5c1/Cmpk1/Gtf2h5/Rock1/Glo1/Elf1/Insig1/Cyfip2/Dnajb9/Exosc8/P4ha1/Mef2a/Metap1/Napa/Ago2/Daam1/Slc11a2/Mpp1/Glrx/Grpel1/H2az2/Rabgap1l/Add3/Ptp4a3/Oat/Uqcrb/Cct6a/Arf4/Ak1/Fyn/Ccng1/Nfat5/Ppp3r1/Dab2/Hadh/Mapk14/C1qbp/Ralbp1/Dusp3/Prnp/Ranbp1/Dync1h1/Mapk1/Numa1/Cndp2/Atp2c1/Ebp/Echs1/Tmem50a/Eprs/Ywhaq/Flnb/Psma1/Eif2s1/Tpm4/Paip1/Bub3/Mon2/Acsl4/Cbx1/Pten/Scp2/Nrp1/Ppp2cb/Lonp2/Tmpo/Pmp22/M6pr/Isg20/Atrx/Vcl/Nup98/Acat1/Comt/Luc7l3/Smurf2/Cmklr1/Tax1bp3/Sec31a/Prdx6/Psma2/Cct4/Pafah1b1/Ap2b1/Gnai3/Thbd/Spop/Hspa4/Csnk1d/Ech1/Gde1/Adam9/Wdr1/Psmd14/Abhd2/Bcl2l1/Lamc1/Scd1/Gls/Galnt1/Dusp6/Tubb5/Tcp1/Adam10/Serp1/Copb1/Add1/Tsc22d1/Eif3b/Btg1/Atp2a2/Btg2/Npm1/Ctsb/Tmed10/Cap1/S100a10/Cct2/Acta2/Psmb8/Scd2/Srsf6/Clic3/Cat/Alcam/Hspa5/Bmpr2/Glul/Clta/Calcrl/Capzb/Ywhae/Anxa2/Ctnna1/Pdia6/Ucp2/Dpysl2/Tmbim6/Sptbn1/Igfbp7/Fhl1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_UP","ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_UP",443,-0.567304667794278,-3.03515432559712,1.70356010447354e-47,2.8761773097195e-44,2.39096155013831e-45,4968,"tags=56%, list=25%, signal=43%","Atp6v1c1/Sec24d/Acp2/Nt5c3/Smad1/Pml/Mafb/Pla2g7/Rnf213/Samd9l/Ifitm3/Tmem140/St14/Mxd1/Pmvk/Mov10/Nmi/Stam2/Cyfip1/Nexn/Cd14/Rb1/Acss2/Snx10/S100a9/Tnfaip2/Sqor/Prdx3/Cdkn1a/Wipi1/Herc6/Etfdh/Kdm7a/Pam/Nod1/Spi1/Eif2ak2/Ifit2/Itpk1/Nagk/Slc29a1/Abcd1/Sntb1/Stx3/Gbp3/Ccr2/Ifit3/Sidt2/Tank/Trim25/Chst12/Stat2/Gnb4/Gmppa/Trim26/Casp7/Casp4/Hgf/Bach1/Adar/Prkce/Sat1/Hhex/Trib1/Rnf31/Tbk1/Ccrl2/Lmo2/Ifi35/Plek/G6pdx/Slc31a2/C3ar1/Usp15/Cd274/Zmiz1/Zbp1/Acsl1/Stx12/Notch2/Nub1/Gaa/Dnaja1/Fes/Ptpa/Pim3/Parp9/Stat1/Klf4/Irf7/Irf2/Tnfrsf1b/Skap2/Tcirg1/Dhrs7b/Sqle/Cd2ap/Gch1/Fbxo6/Pgk1/Sipa1l1/Sirpa/Jak2/Tcn2/Lap3/Msrb1/Arl8a/H2-Eb1/Helz2/Elf4/Stab1/Vcpip1/Ifi27/Map3k11/Ralb/Tnfsf10/Isg15/Ifngr2/Zfp36/Sdhb/Ctnnd1/Nectin2/Capg/Timp1/Lmnb1/Napa/Rtp4/H2-DMb1/Mvb12a/Glrx/Bak1/Ext1/Uba7/Ifitm1/Parp12/Gadd45b/Emp3/Plscr1/Gbp2/Rab31/Ldlr/Rhob/Peli1/Src/Stom/H1f0/Atf5/Rras/Cul1/Psme2/Mvp/Eif4e3/Cbr1/Dusp3/St8sia4/Nampt/Irf9/Dennd5a/Socs3/Adam17/Cndp2/Dram1/Creg1/Tap1/Psma4/P2rx4/Myd88/Psmb9/Hmox1/Acsl4/Grina/Slc1a5/Plxnb2/Abca1/Psenen/Rnh1/Sdc3/Plac8/Parp14/Isg20/Gsto1/Idh1/Snx2/Vamp3/Cd151/Pea15a/Agrn/Trafd1/H2-DMa/Lyn/Cmklr1/Gucy1a1/Fgl2/Atp1b3/Bag1/Adam9/Psmb10/Axl/Stat3/Qsox1/Lgals3bp/Dusp6/Tap2/Ifi30/Icam1/Agpat3/Ssb/Sppl2a/Atp6v0d1/Gm2a/Ctsz/C1qc/Irf1/Cxcl16/Ctsd/Atp2a2/Sec14l1/Alas1/Rab1a/Ctsb/Psme1/Tapbp/Ctsl/Acta2/Atp1b1/Psmb8/Serping1/Tgm2/Tagln/Timp2/Psma6/Glul/Atox1/Ces1d/Jup/Akr1a1/Tns1/H2-Ea/Ly6e/Cd63/Anxa2/Csrp1/Ctnna1/Cd36/Tmem176a/Dpysl2/Gnb2/Anxa5/Tmem176b/S100a11","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_7DY_UP","THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_RESPONDERS_7DY_UP",231,-0.659121003239237,-3.29381138819821,3.77540468598204e-43,4.78060618362476e-40,3.97411019577057e-41,4529,"tags=64%, list=23%, signal=50%","Gpx7/Cant1/Usp1/Preb/Nipbl/Mtrex/Gzma/Scamp1/Coq5/Atp6v1d/Fh1/Psip1/Lepr/Ell2/Rala/H4c14/Phf5a/Cox17/Cox7b/Rab5a/Tra2b/Tars/Asf1a/Hax1/Tatdn2/Ube2c/Cish/Ptpn11/Stip1/Prdx4/Pnpla8/Nin/Sdf2l1/Hspd1/Wdr33/Ndufb2/Hmgcr/Nme1/Gmfb/Marchf6/Slc25a4/Hsph1/Dynlt3/Srp19/Ppm1b/Rrm1/Uqcrc2/Snx14/Selenos/Txnrd1/Srprb/Pef1/Dr1/Cttn/Ndufa8/Tmx1/Psmc2/Cmpk1/Gtf2h5/Cdkn2c/Vcpip1/Glo1/Eif3d/Timm8b/Hdac2/Vbp1/Uso1/Psmb5/Ndufb3/Bak1/Mdh1/Ndufs4/Rabgap1l/Uqcrb/Cnot6/Cct6a/Rpl14/Polr1h/Hspe1/Net1/Ifnar1/Vezf1/Snrpg/Eprs/Eif2s1/Pebp1/Ywhag/Spcs3/Rps27l/Paics/Acat1/Sec61a1/Cops5/Dbi/Arcn1/Idh2/Ap2b1/Psmd8/Gnai3/Rpn1/Ssr1/Cdk4/Cav1/Reep5/Rbx1/Atp5k/Myl9/Cdc42se2/Arl6ip1/Etfa/Pcna/Slc38a2/Naa38/Cct3/Fkbp2/Arpp19/Cox6c/Abi1/Gm2a/Ndufa6/Hint1/Ogdh/Mgat1/Fis1/Glud1/Ndufa4/Prdx5/Cct2/Eif3a/Dnajc3/Atp5e/Ldhb/Alcam/Ces1d/Serbp1/Calu/Cdc42/Hsp90aa1/Pdia6/Tmed2/Canx/Gnb2/Calr/Itgb1/Hspa8/Hopx/Hsp90b1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_28DY_POSITIVE","HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_28DY_POSITIVE",446,-0.542257226043211,-2.90045635752588,1.12393181933449e-41,1.13854293298584e-38,9.464689004922e-40,4705,"tags=53%, list=24%, signal=42%","Angpt1/Gab2/Irf4/Entpd7/St14/Gla/Ptges/Mxd1/Aimp2/Bmf/Itga9/Smtn/Hspa13/Tnfrsf12a/Cdc42ep4/Iqgap2/Snx10/Mtrex/Tnfaip2/Bcl2l2/Usp16/Cdkn1a/F3/Wipi1/Pgd/Nfkbiz/Cbfa2t3/Aldh1a7/Spi1/Taf13/Heyl/Ifit2/Relb/Lats2/Slc29a1/Abcd1/Ell2/Sowahc/Tsg101/Jag1/Pno1/Sidt2/Rab5a/Tgfbi/Ypel5/Mapre3/Kdm4b/Gnb4/Trim26/Slc35b1/Idh3a/Gapdh/Pak4/Foxo3/Gtf2b/Bach1/Trp53inp2/Ikbkg/Atp6v1f/Sat1/Epha2/Pnpla8/Sgk1/Trib1/Klf10/Ccrl2/Nab2/Prkaca/Plek/Slc31a2/Ppp1r15b/Tle3/Cd55/Cbx8/Serpine1/Hmgcr/Zmiz1/Ugcg/Adgra2/Acsl1/Gmfb/Numb/Picalm/Blvrb/Stx12/Plpp3/Ciita/Pim3/Map2k3/Klf4/Txnrd1/Tnfrsf1b/Skap2/Yif1a/Eif4a3/Aco2/Sipa1l1/Jak2/Gusb/Cd302/Arl8a/Atp5c1/H2-Eb1/Elf4/Hbegf/Bnip3l/Map3k11/Rock1/Dock2/Elf1/Ifngr2/Zfp36/Rad23b/Rreb1/Raf1/Ier5/Cyc1/Riok3/Cdc42ep1/Mef2a/Map3k20/H2-DMb1/Flii/Plk2/Adrm1/Ier2/Aldh3b1/Bak1/Ext1/Mknk2/Tkt/Oat/Ldlr/Arf4/Fscn1/Rhob/Peli1/Src/Ap3b1/Atf5/Psmd3/Id1/Ets2/Usp8/Nampt/Med13l/Adam17/Scarb1/Nfe2l2/Ncor2/Dctn4/Irf8/Mdm2/Fbn1/Myd88/Hmox1/Ndst1/Ywhag/Acsl4/Grina/Slc1a5/Nrp1/Cox5b/Abca1/Ier3/Notch3/Herpud1/Adipor1/Atp6v0c/Snx2/Vamp3/Dock4/Srgn/Akt1s1/H2-DMa/Lyn/Emp1/Eif4g2/Thbd/Hspa4/Adam9/Slc6a6/Tspan13/Bcl10/Bhlhe40/Hes1/Arl6ip1/Dusp6/Ckap4/Ifi30/Icam1/Atp6v0b/Ifngr1/Mid1ip1/Nedd9/Mapre1/Kif5b/Klf6/Nfkbia/Ctsz/Cxcl16/Atp2a2/Sec14l1/Alas1/Rab1a/Hif1a/Epb41l2/Gabarapl1/Atp1b1/Sdcbp/Eif3a/Jun/Dnajc3/Timp2/Khsrp/Cat/Sfpq/Vegfa/Gnai2/Cd34/Id2/Glul/Atox1/Anxa1/H2-Ea/Ywhae/Aldh2/Eif4h/Mcl1/App/Eif4a1/Sqstm1/Gpx3/Arf1/Ftl1/Aplp2/Atp5b/Vim","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN","GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN",104,-0.791994387014884,-3.58839686117419,4.26519651571866e-39,3.6005367253525e-36,2.99312036190783e-37,2124,"tags=71%, list=11%, signal=64%","Atp6v1g1/Prdx1/Cox6a1/Tkt/Uqcrb/C1qbp/Rpl14/Snrpg/Psma1/Laptm5/Ldha/Rps27l/Rpl9/Hnrnpc/Cox5a/Eif4g2/Rps9/Rpl36/Hadha/Actr3/Ets1/Rab2a/Arl6ip1/Pcna/Rpl6/Tubb5/Srsf2/Rpl34/Stmn1/Cct5/Selenow/Actb/Hint1/Cyb5a/Npm1/Atp5pb/B2m/Psme1/Rps6/Tpm3/Ctsl/Selenop/Rpl22/Ppia/H2az1/Ndufa1/Ldhb/Psma6/Arpc3/Rps10/Akr1a1/Ywhaz/Serbp1/Txn1/Eef1b2/Rpl18/Rps5/Arpc2/Capzb/Rps3a1/Anxa2/Hsp90aa1/Cnbp/Actg1/Eif4a1/Rps14/Rplp0/Arf1/Atp5g3/Rps3/Hnrnpu/Hspa8/Rps19/Rack1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_3DY_UP","NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_3DY_UP",216,-0.642209330911053,-3.20389490446708,1.29245251286384e-36,9.35181711093619e-34,7.77415045331631e-35,4629,"tags=62%, list=23%, signal=48%","Pmvk/Map3k7/Ada/Rab27a/Stam2/Cyfip1/Ubr7/Gzma/Scamp1/Kif3b/Coq5/Atp6v1d/Serpinb6a/Arfip1/Gngt2/Ccr5/Rala/Ppm1g/Ccr2/Vdac1/Supt4a/Slc26a2/Tars/Sec22b/Il17ra/Aldh9a1/Galc/Gmpr2/Rpe/Fbxw11/Suclg1/Mgst3/C3ar1/Cbl/Adgre1/Ide/Psmd1/Atp2b4/Sdhc/Ndufs1/Cntrl/Ndufa8/Tmx1/Ipo7/Psmc2/Sp1/Gtf2h5/Lta4h/Acaa2/Agfg1/Timm8b/Mgll/Ctnnd1/Prdx1/Timp1/Yipf6/Prcp/Nek7/Ndufb3/Glrx/Rabgap1l/Ndufv3/Stom/Pura/Ap3b1/Hadh/Rras/Banf1/Hmox2/Rps6ka1/Adgrg1/Lfng/Abcd3/Polr1h/Psmb2/Cltc/Mapk1/Ndufb5/Stx7/Eif2s1/Atp6v0e/Hmox1/Aldh3a2/Ap2s1/Hsd17b4/Cbx1/Ppp2cb/Il10rb/Rps27l/Tmpo/Plac8/M6pr/Tpi1/Fuca1/Lipa/Idh1/Cops5/Dbi/Pecam1/Ap2b1/Cdk4/Ech1/Reep5/Psmd14/Cyb5b/Galnt1/Arrb1/Pcna/Tubb5/G3bp1/Naa38/Icam2/Cct3/Cct5/Selenow/Fkbp1a/Cyb5a/Ctsl/Cap1/Arf6/Coro1a/Mtch2/Clic3/Cat/Bmpr2/Ctsc/Ppp1ca/Clta/Csrp1/Bsg/Cd36/Vamp8/Dpysl2/Igfbp7","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP","ERWIN_COHEN_BLOOD_LIVE_VACCINE_TC_83_AGE_23_48YO_VACCINATED_VS_CONTROL_14DY_UP",226,-0.626972430050624,-3.12369593472095,6.93069195543599e-35,4.38799434428541e-32,3.64773260812421e-33,4832,"tags=62%, list=24%, signal=47%","Birc3/Pcgf5/Samd9l/Snrpd2/Arid4b/Cul5/Tgfbr3/Hspa13/Usp1/Rrm2/Mtrex/Cacybp/Usp16/Slc35a3/Tpd52/Gzma/Prps2/Psip1/Dars/Ell2/Ak3/Cox7b/Eif2ak3/Tra2b/Cycs/Uqcrq/Asf1a/Ttc37/Zwint/Prpf4b/Cul4a/Mfsd6/Clns1a/Prelid3b/Ptch1/Timm17a/Uba2/Arhgap5/Prdx4/Sucla2/Hspd1/Arfgef2/Fabp5/Nme1/Atp5o/Srsf3/Hsph1/Itga4/Srp19/Psma3/Rrm1/Eed/Itgav/Ran/Cd2ap/Gch1/Dr1/Tmx1/Psmc2/Dut/Cmpk1/Tlk1/Ppp4r2/Ifi27/Isg15/Dnajc15/Anp32e/Vbp1/Uso1/Dnajb9/Exosc8/Sar1b/Dock10/Rtp4/Nr1d2/Ndufa5/Rabgap1l/Add3/Uqcrb/Fyn/Ccng1/Arhgef3/Prnp/Abcd3/Hspe1/Srp9/Abce1/Snrpg/Fdx1/Psma4/Ywhaq/Syncrip/Wwp1/Bub3/Cox7a2/Lrrc8c/Slc39a8/Rps27l/Hnrnpa3/Lman1/Luc7l3/Sec31a/Dbi/Psma2/Cd47/Ostc/Cdkn2aip/Psmd14/Atp5j/Gls/Pcna/Hmgb2/G3bp1/Serp1/Ssb/Rpl34/Arpp19/Eif4e/Cox6c/Erh/Psmc6/Dek/Ndufa6/Hint1/Smc3/Npm1/Uqcrh/Cct2/Ppib/Srsf1/Il6st/Ldhb/Eif4a2/Eef1b2/Ly6e/Hsp90aa1/Itgb1/Hnrnpu/Hsp90b1/Hnrnpa2b1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP","GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",87,-0.792750430006283,-3.43648830561991,1.17900297016833e-32,6.63516671544731e-30,5.51580336920855e-31,2059,"tags=68%, list=10%, signal=61%","Prdx1/Cox6a1/Tkt/Uqcrb/Vdac3/Rpl14/Hspe1/Rbbp7/Snrpg/Psma1/Acsl5/Hnrnpa3/Rpl9/Hnrnpc/Phyh/Cox5a/Eif4g2/Cct4/Rps9/Rpl36/Psmb10/Hadha/Rpl6/Rpl34/Actb/Cxcl16/Hint1/Npm1/C3/Psme1/Rps6/Tpm3/Arf6/Prdx5/Coro1a/Ghitm/Rpl22/Ppia/Ndufa1/Clu/Hspa5/Arpc3/Rps10/Akr1a1/Eef1b2/Rpl18/Rps5/Arpc2/Ywhae/Rps3a1/Anxa2/Actg1/Rps14/Rplp0/Rps3/Hspa8/Rps19/Rack1/Sod1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE22886_NEUTROPHIL_VS_MONOCYTE_DN","GSE22886_NEUTROPHIL_VS_MONOCYTE_DN",101,-0.755616460221916,-3.38890328583896,2.2849685834451e-31,1.14430957623017e-28,9.51262701703264e-30,3389,"tags=74%, list=17%, signal=62%","Dnm1l/Plod3/Timm17a/Eno1/Klf10/Mgst3/Dnmt1/Atp5o/Srsf3/Klf4/Nmt1/Ran/Ndufs1/Gusb/Uqcrc1/Adh5/Ndufab1/Vdac2/Eif3d/Cyc1/Ext1/Grpel1/Ndufs4/Banf1/Psmd3/Dusp3/Immt/Timm13/Ndufa9/Eprs/Irf8/Psma1/Syncrip/Idh3b/Hsd17b4/Plxnb2/Rnh1/Srsf7/Rpl9/Pea15a/Sec31a/Cox5a/Hnrnpd/Cct4/Nap1l1/Cd44/Lgals3/Snrpd3/Cct3/Dhx15/Ndufs6/Eif4g1/Uqcrh/Ctsb/S100a10/Ndufa4/Eif3a/Slc25a3/Capn2/Sfpq/Akr1a1/H2-Ea/Gpx1/Anxa2/Ahnak/Ucp2/Eif4a1/Canx/Atp5g3/Lgals1/Ctsh/Rack1/Hnrnpa2b1/Atp5b/Hsp90ab1","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
"GSE29618_BCELL_VS_MDC_DN","GSE29618_BCELL_VS_MDC_DN",115,-0.731062396458306,-3.33004382536079,2.48517380819978e-31,1.14430957623017e-28,9.51262701703264e-30,2229,"tags=53%, list=11%, signal=47%","Itgb2/Capg/Timp1/Prcp/Rbpj/Syngr2/Glrx/Rab31/Cct6a/Stom/Dab2/Dusp3/Ets2/Sec11a/Tob1/S100a4/Gsto1/Pea15a/Ssr1/Wdr1/Axl/Scd1/Bhlhe40/Arrb1/Ifi30/Uqcrfs1/Cox8a/Fkbp1a/Actb/Ndufa6/Atp6ap1/Ctsb/Cap1/S100a10/Ndufa4/Atp1b1/Coro1a/Scd2/Pkm/Cat/Gnai2/Id2/Lmna/Lcp1/H2-Ea/Txn1/Gsn/Arpc2/Cd63/Anxa2/Actg1/Eif4a1/Canx/Dpysl2/Myl12a/Lgals1/Anxa5/Ctsh/Pfn1/Igfbp7/Vim","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected","Immune","NRR_vs_ARR = Neonate_Reinfected_NO_IFN - Adult_Reinfected | Positive NES/logFC = higher in Neonate_Reinfected_NO_IFN ; Negative NES/logFC = higher in Adult_Reinfected"
