"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","database","direction"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",199,0.549722672667597,1.75847961869416,4.89075053028892e-16,2.44537526514446e-14,4.63334260764213e-15,4513,"tags=61%, list=23%, signal=48%","Alas1/Atp5b/Atp5j2/Cox4i1/Cyb5r3/Ndufa1/Por/Cyb5a/Mdh2/Atp5g3/Ndufs2/Atp1b1/Atp5a1/Gpx4/Ogdh/Ndufa4/Ndufa6/Atp5pb/Ndufs6/Atp6ap1/Cox6c/Echs1/Hsd17b10/Fdx1/Etfa/Atp5j/Atp5h/Atp6v0b/Acat1/Atp5d/Atp6v1e1/Hadha/Ndufa3/Glud1/Grpel1/Uqcrfs1/Ndufb3/Eci1/Acadvl/Immt/Atp5e/Ndufa8/Ldhb/Ech1/Ndufa7/Acaa2/Ndufb1/Cox5b/Sdha/Cs/Cox6b1/Slc25a3/Cox17/Maob/Sdhb/Nqo2/Etfb/Mdh1/Ndufa5/Ndufv2/Idh3b/Afg3l2/Vdac3/Cox7b/Oat/Ndufab1/Ldha/Idh1/Pdha1/Gpi1/Aifm1/Cox8a/Timm17a/Ndufs8/Ndufs4/Phb2/Sdhc/Atp5o/Htra2/Cox7a2/Slc25a5/Atp5c1/Uqcr11/Uqcr10/Cox6a1/Acadm/Mrpl34/Sucla2/Uqcrb/Cox7a2l/Hspa9/Hccs/Idh3g/Timm13/Idh2/Ndufa2/Atp5k/Ndufb7/Vdac1/Ndufb6/Slc25a20/Dlst/Iscu/Ndufc1/Bckdha/Atp6v0e/Polr2f/Atp6v1g1/Ndufa9/Phyh/Mrps12/Mrps11/Bax/Acadsb/Ndufb8/Mgst3/Atp5g2/Sdhd/Uqcrh/Slc25a4/Cox5a","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",200,0.533427602999945,1.70674213809353,5.39229054095863e-14,1.34807263523966e-12,2.55424288782251e-13,5388,"tags=60%, list=27%, signal=45%","Cd36/Sod1/Aplp2/Col4a1/Cat/Aldh2/Gpx3/Ucp2/Cyp4b1/Mylk/Acadl/Rtn3/Por/Sparcl1/Mdh2/Gpx4/Plin2/Hadh/Echs1/Cavin2/Cavin1/Aldoa/Atl2/Scp2/Pim3/Ifngr1/Riok3/Angpt1/Ghitm/Lama4/G3bp2/Tob1/Grpel1/Lifr/Immt/Ywhag/Ech1/Dram2/Acaa2/Apoe/Cs/Atp1b3/Slc25a10/Gpam/Sdhb/Etfb/Ndufa5/Esrra/Adcy6/Esyt1/Abca1/Reep5/Ppp1r15b/Rreb1/Cox7b/Ndufab1/Idh1/Cdkn2c/Cd151/Aifm1/Cox8a/Acox1/Acly/Sdhc/Pgm1/Atp5o/Sqor/Adipor2/Stom/Cmpk1/Uqcr11/Fzd4/Uqcr10/Pfkl/Ubqln1/Mtch2/Cox6a1/Pfkfb3/Agpat3/Ppm1b/Acadm/Sowahc/Rab34/Idh3g/Mtarc2/Dhrs7/Mgll/Dnajc15/Tkt/Adig/Enpp2/Ndufb7/Scarb1/Bcl6/Phldb1/Bckdha/Dhrs7b/Ak2/Pex14/Angptl4/Phyh/Dnajb9/Pemt/Slc25a1/Mgst3/Pdcd4/Fah/Ubc/Dbt/Prdx3/Sorbs1/Samm50/Hspb8/Uqcrq/Reep6/Coq5/Rnf11/Mccc1/Chchd10/Slc1a5/Gphn","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",199,0.522786305801706,1.67231425843081,6.36469665292275e-13,1.06078277548712e-11,2.00990420618613e-12,5408,"tags=59%, list=27%, signal=44%","Hsp90ab1/Eif4h/Hnrnpu/Hnrnpa2b1/Eif4a1/Psma7/Psmc6/Cct2/Cct5/Rpl22/Cnbp/Snrpd3/Rack1/Canx/Serbp1/Ywhaq/Ywhae/Pcbp1/Rps3/Rpl18/Srsf1/Glo1/Gspt1/Cdk4/Psma6/Rpl14/Fam120a/G3bp1/Ssb/Trim28/Psma4/Dek/Cct4/Psmd8/Rps5/H2az1/Cct3/Tcp1/Ppia/Eif3b/Tardbp/Srsf2/Rplp0/Rad23b/Dhx15/Pabpc1/Eef1b2/Eif4g2/Npm1/Rpl34/Hnrnpd/Rps10/Slc25a3/Hprt/Rps6/Erh/Psmd14/Snrpb2/Psma2/Ptges3/Pole3/Pcna/Nap1l1/Uba2/Vdac3/Vbp1/Ndufab1/Ldha/Hnrnpa1/Eif4e/Tyms/Phb2/Pold2/Hnrnpr/Snrpa/Eif2s1/Exosc7/Ddx21/Hnrnpc/Psmd7/Rpl6/Psmc4/Eif3j1/Tra2b/Nop56/Cad/Snrpg/Psmb2/Abce1/Eif2s2/Bub3/Hnrnpa3/C1qbp/Hdac2/Vdac1/Cstf2/Cdk2/Psma1/Etf1/Iars/Ifrd1/Kars/Srsf7/Psmd3/Srsf3/Prps2/Cox5a/Prdx3/Mrpl23/Mrpl9/Cul1/Ap3s1/Ranbp1/Nolc1/Eif3d/Cct7/Ilf2/Ctps","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",160,0.54458347736219,1.72825102377267,3.97276519254264e-12,4.9659564906783e-11,9.40918071917994e-12,5221,"tags=57%, list=26%, signal=42%","Sod1/Timp3/App/Jun/Mcl1/Ctnnb1/Gpx3/Txnip/F2r/Gsn/Sptan1/Gstm2/Timp2/Dnajc3/Rhob/Bgn/Gpx1/Sqstm1/Gpx4/Bcl2l1/Pdgfrb/Anxa1/Crebbp/Cdkn1b/Emp1/Xiap/Add1/Tgfbr3/Btg2/Irf1/Ppp3r1/Nedd9/Ifngr1/Tspo/Gadd45b/Ptk2/Pea15a/H1f0/Bcl10/Cav1/Tnfsf10/Hspb1/Ier3/Rela/Dap/Dnaja1/Plppr4/Wee1/Lmna/Ebp/Erbb3/Bnip3l/Hmox1/Ppt1/Rock1/Cflar/Bcl2l11/Hmgb2/Dcn/Mmp2/Ifitm3/Smad7/Gsr/Sat1/Btg3/Gch1/Sc5d/Isg20/Dpyd/Madd/Cdk2/Lgals3/Bmf/Etf1/Krt18/Fas/Bax/Pdcd4/Satb1/Ereg/Tap1/Ccnd2/Rara/Ddit3/Birc3/Igfbp6/Bcl2l2/Psen1/Ccnd1/Hgf/Vdac2","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",144,0.551176603010379,1.74135635343786,1.31525028671032e-11,1.31525028671032e-10,2.49205317481955e-11,4688,"tags=57%, list=23%, signal=44%","Nfib/Dusp1/Tjp1/Ptprm/Anxa2/Nrp1/Pmp22/Pdgfrb/Ldlr/Cdkn1b/Atrx/Tgfbr2/Add3/Kit/Tgfbr3/Plpp3/Spop/Id1/Col5a2/Lamc1/Sri/Efemp1/Cav1/Col1a1/Col1a2/Sdc2/Insig1/Mapk14/Fbln5/Bhlhe40/Sipa1l1/Prkce/Adgrl2/Cdk13/Irs1/Igf1r/Anxa4/Zmiz1/Ica1/Mta1/Grk5/Dyrk1a/Atp2c1/Tfpi/Atxn1/Atp2b1/Col3a1/Rxra/Acvr2a/Mt1/Met/Cdc42bpa/Has2/Schip1/Dlc1/Rbpms/Atrn/Pten/Nr1d2/Fyn/Ddah1/Notch2/Ltbp1/Smad7/Phf3/Nr3c1/Nfkb1/Mgll/Inpp4b/Cited2/Map2k5/Runx1/Dlg1/Scn8a/Vav2/Pex14/Pik3r3/Dab2/Vldlr/Ccn1/Gja1/Igfbp5","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",201,0.505655167212853,1.61802604010477,7.84771340706064e-11,6.53976117255053e-10,1.2391126432201e-10,5145,"tags=51%, list=26%, signal=38%","Vim/Col4a1/Timp3/Jun/Pcolce2/Vegfa/Eln/Lrp1/Sparc/Col4a2/Mylk/Itgb1/Rhob/Cadm1/Pmp22/Fermt2/Bgn/Fn1/Pdgfrb/Igfbp4/Lgals1/Calu/Ecm1/Tgfbr3/Igfbp2/Tgm2/Sdc4/Col5a2/Postn/Lamc1/Fbn1/Gadd45b/Fuca1/Col5a1/Col1a1/Col1a2/Mgp/Pmepa1/Lox/Tgfb1/Nt5e/Lama3/Lamc2/Igfbp3/Fbln5/Cdh11/Col6a3/Tagln/Ppib/Slc6a8/Serpine2/Sdc1/Flna/Sgcg/Fstl1/Loxl1/Mmp14/Itga5/Col3a1/Plod3/Ccn2/Colgalt1/Htra1/Fgf2/Cald1/Id2/Wipf1/Plaur/Dcn/Edil3/Mmp2/Slit2/Notch2/Sntb1/Sat1/Mest/Pvr/Tpm4/Tnc/Plod2/Myl9/Tpm1/Gpc1/Efemp2/Tpm2/Abi3bp/Gpx7/Cxcl12/Nid2/Serpinh1/Fas/Dab2/Ccn1/Tnfaip3/Fmod/Gja1/Bmp1/Fstl3/Col6a2/Vegfc/Pcolce/Itgb5","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",198,0.502426021626984,1.60710575921614,1.04827177160738e-10,7.48765551148128e-10,1.41871367585961e-10,4474,"tags=45%, list=22%, signal=36%","Jup/Msn/Tjp1/Cldn5/Ctnna1/Pfn1/Epb41l2/Actg1/Itgb1/Icam2/Pcdh1/Cd34/Cldn18/Actn4/Zyx/Itga3/Cdh1/Nectin3/Gnai2/Myh9/Hadh/Vwf/Sorbs3/Myl12b/Cldn7/Map4k2/Fbn1/Parva/Taok2/Ptk2/Ctnnd1/Map3k20/Src/Vcl/Rras/Sdc3/Arpc2/Skap2/Hras/Insig1/Gtf2f1/Lama3/Mapk14/Lamc2/Actn1/Layn/Cdh11/Fscn1/Evl/Tial1/Irs1/Cap1/Wasl/Vasp/Pals1/Pik3cb/Myh10/Ywhah/Pard6g/Icam1/Shc1/Mpzl1/Plcg1/Mmp2/Pten/Slit2/Rasa1/Adam15/Ikbkg/Baiap2/Stx4a/Ldlrap1/Rsu1/Mpzl2/Cnn2/Myl9/Amigo2/Nectin1/Exoc4/Actb/Dlg1/Pecam1/Vav2/Arhgef6/Pik3r3/Pkd1/Tubg1/Pbx2/Adam9/B4galt1","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",105,0.558884865156722,1.7311852515724,9.94274756206494e-10,6.21421722629059e-09,1.1774306323498e-09,6260,"tags=68%, list=31%, signal=47%","Arf1/Arhgdia/Pfn1/Cfl1/Tsc2/Actr2/Arpc3/Calr/Sqstm1/Cdkn1b/Ywhab/Mknk2/Grb2/Hsp90b1/Gsk3b/Cdk4/Tnfrsf1a/Akt1/Rac1/Rps6ka3/Ppp1ca/Hras/Mapk1/Ecsit/Cltc/Rps6ka1/Actr3/Ptpn11/Cxcr4/Csnk2b/Myd88/Il2rg/Smad2/Eif4e/Prkar2a/Cab39/Rptor/Plcg1/Prkag1/Pten/Dusp3/Akt1s1/Cab39l/Mapkap1/Ralb/Ap2m1/Tiam1/Cdk2/Pik3r3/Pak4/Mapk9/Adcy2/Tbk1/Ppp2r1b/Stat2/Ddit3/Plcb1/Pitx2/Grk2/Pikfyve/Map2k3/Itpr2/Pla2g12a/Gna14/Ube2d3/Gngt1/Nck1/Map3k7/Traf2/Nod1/Ripk1","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",96,0.577486011859427,1.77842777209521,1.13744745915366e-09,6.31915255085367e-09,1.19731311489859e-09,5059,"tags=68%, list=25%, signal=51%","Sod1/Arf1/Cav2/Vamp3/Gnas/Atp1a1/Ctsc/Adam10/Cope/Yipf6/Tmed2/Sec31a/Stx7/Tmed10/Clta/Mon2/Copb1/Rps6ka3/Cd63/Rab2a/Mapk1/Tspan8/Cltc/Arcn1/Lamp2/Ap1g1/Ica1/Rab14/Copb2/Tom1l1/Ap2b1/Lman1/Ergic3/Abca1/Vps4b/M6pr/Snx2/Pam/Ppt1/Gosr2/Scamp3/Arfgef2/Napa/Stx12/Napg/Arfgef1/Ap3b1/Sec22b/Tmx1/Rab22a/Ap2m1/Ykt6/Sec24d/Scamp1/Krt18/Sgms1/Cln5/Ap2s1/Uso1/Tpd52/Tsg101/Ocrl/Atp7a/Vamp4/Ap3s1","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",199,0.489023264961795,1.56431140147384,1.74258384387138e-09,7.92083565396083e-09,1.50078991338205e-09,4793,"tags=47%, list=24%, signal=36%","Cdc42/Mid1ip1/Arhgdia/Sptbn1/Gsn/Sptan1/Epb41l2/Cyth2/Wasf2/Arhgef12/Csnk1d/Flnb/Palld/Arf6/Klc1/Arap3/Actn4/Mapre1/Akap13/Ywhae/Myh9/Capzb/Abl1/Smc1a/Dock4/Ezr/Ralbp1/Nedd9/Dynll2/Taok2/Abr/Net1/Vcl/Arhgef3/Septin9/Hook3/Arhgef2/Epb41/Ophn1/Fscn1/Farp1/Dync1h1/Ssh2/Pcnt/Smc3/Stau1/Wasl/Numa1/Kif5b/Flna/Arhgef7/Myh10/Abi1/Rasal2/Arfip2/Clip1/Tlk1/Pafah1b1/Clasp1/Cdc42bpa/Rock1/Bcl2l11/Arhgap29/Arhgap27/Arhgap5/Rasa1/Notch2/Arhgef11/Arfgef1/Cdc42ep1/Prex1/Pcm1/Birc5/Lats1/Trio/Myo1e/Llgl1/Cntrl/Kif3c/Tiam1/Dlg1/Plekhg2/Katna1/Hdac6/Nck2/Map3k11/Espl1/Cenpj/Pxn/Cep250/Pkd2/Ccnb2/Arl8a/Bcar1","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",197,0.488919434641222,1.56339676074528,1.59878335038403e-09,7.92083565396083e-09,1.50078991338205e-09,7451,"tags=64%, list=37%, signal=40%","App/Jun/Txnip/F2r/Tm4sf1/Tsc22d1/Cebpa/Rack1/Mknk2/Vamp8/Rpl18/Rpl36/Ralgds/Notch1/Btg2/Slc3a2/Nupr1/Tcn2/Dcxr/Btg1/Fuca1/Ankra2/Hint1/S100a10/Hexim1/Tob1/Dram1/Tgfb1/Plk2/Hras/Hbegf/Ifi30/Tax1bp3/Ldhb/Ccp110/Rrad/Cd82/Cd81/Ier3/Ptpn14/Sdc1/Vwa5a/Trafd1/Klf4/Apaf1/Pcna/Cgrrf1/Rxra/Gm2a/Wwp1/Hmox1/Epha2/Aen/Mdm2/Ier5/Stom/Ppp1r15a/Cdkn2b/Prkab1/Mxd4/Phlda3/Sesn1/Cdkn2aip/Ephx1/Dgka/Zbtb16/Kif13b/Baiap2/Sat1/Abhd4/H1f2/Rps27l/Rchy1/Zfp36l1/Tgfa/Tspyl2/Rps12/Foxo3/Iscu/Socs1/Plxnb2/Fas/Bax/Jag2/Rnf19b/Eps8l2/Sp1/Ctsd/Tap1/Ddit4/Ccng1/Ccnd2/Bak1/Ddit3/Trp53/Irak1/Fam162a/Ada/Perp/Ccnk/Polh/Traf4/Acvr1b/Tm7sf3/Sec61a1/Ip6k2/Ccnd3/Ndrg1/Nhlh2/Plk3/Wrap73/Pitpnc1/St14/Pmm1/Sphk1/Tprkb/Fbxw7/Cdkn1a/Pdgfa/Trib3/Dnttip2/Retsat/Pom121/Ercc5/Prmt2/Inhbb","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",199,0.471714935605936,1.50894467581519,5.92504744500702e-08,2.46876976875293e-07,4.67766903553186e-08,7607,"tags=63%, list=38%, signal=40%","Jun/Dusp1/Vegfa/Ets1/Ndst1/Anxa2/Klf6/Bgn/Plin2/Pdgfb/Cdkn1b/Myh9/Hspa5/Klf7/Cavin1/Aldoa/Tgm2/Sdc4/Xpnpep1/Btg1/Efna1/Tpi1/Gpc3/Slc6a6/Col5a1/Cav1/Ugp2/Sdc3/Sdc2/Lox/Igfbp3/Bcl2/Zfp36/Plac8/Bhlhe40/Cxcr4/Ier3/Pnrc1/Ext1/Csrp2/Ccn2/Ccn5/Pdk3/Wsb1/Mt1/Bnip3l/Pam/Hmox1/Ldha/Gpi1/Gpc4/Cdkn1c/Pgm1/Plaur/Dcn/Ppp1r15a/Hk1/Pfkl/Klhl24/Glrx/Pfkfb3/Chst3/Nr3c1/Errfi1/Sap30/Isg20/Cited2/Tgfb3/Ids/Scarb1/P4ha1/Foxo3/Gpc1/Angptl4/Slc25a1/Vldlr/Akap12/Ccn1/Lxn/Tpd52/Ddit4/Tnfaip3/Jmjd6/Cavin3/Hexa/Ddit3/Mt2/Ppp1r3c/Vhl/Rbpj/Atp7a/Pygm/Slc37a4/Mxi1/Fam162a/Ero1a/Ndst2/Stbd1/Prkca/Galk1/Prdx5/Ndrg1/P4ha2/Hdlbp/Chst2/Ackr3/F3/Pdk1/Nedd4l/Cp/Pgm2/Pklr/Tiparp/Gaa/Inha/Tpst2/Pim1/Tes/Cdkn1a/Eno1/Adm/Adora2b/Kdelr3/Rragd/Brs3/Hs3st1","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",112,0.527920468331036,1.64304830378531,6.76397167561628e-08,2.60152756754472e-07,4.92921012797948e-08,5540,"tags=59%, list=28%, signal=43%","Vegfa/Eef2/Atp6v0d1/Eif4a1/Spcs1/Dnajc3/Eif4a2/Calr/Xbp1/Imp3/Hsp90b1/Hspa5/Khsrp/Sec31a/Rps14/Serp1/Herpud1/Fus/Ywhaz/Exosc5/Atf4/Eif4g1/Cnot2/Npm1/Atf6/Eif4ebp1/Pdia6/Paip1/Srpr/Ern1/Kif5b/Parn/Cxxc1/Cebpg/Shc1/Eif4e/Gosr2/Cebpb/Eif2s1/Cnot6/Arfgap1/Hspa9/Nop56/Tatdn2/Dnaja4/Bag3/Spcs3/Nop14/Tspyl2/Edem1/Iars/Dnajb9/Tars/Chac1/Ssr1/Nfyb/Ddit4/Eif4a3/Slc1a4/Nolc1/Lsm1/Dctn1/Ero1a/Hyou1/Exosc4/Dcp2","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",106,0.527931750034623,1.63662178392952,1.4648582199133e-07,5.23163649969036e-07,9.91257442046595e-08,6205,"tags=64%, list=31%, signal=44%","Gucy1a1/Hpgd/Myl12a/Scd2/Selenop/Tsc22d1/Dbi/Plpp1/Fads1/Ube2i/Hmgcr/Akt1/H1f0/Rps6ka3/Krt19/Lifr/Pmepa1/Krt8/Insig1/Scd1/Sgk1/Tmem50a/Actn1/Gnai3/Zmiz1/Abhd2/Cdc14b/Lman1/Mertk/Slc38a2/Appbp2/Ell2/Slc26a2/Srf/Gsr/Sat1/Elovl5/Inpp4b/Spcs3/Elk4/Srp19/Gpd1l/Sec24d/Adrm1/Pias1/Idi1/Dnajb9/Akap12/B4galt1/Arid5b/Tpd52/Stk39/Adamts1/Ccnd1/Steap4/B2m/Vapa/Hmgcs1/Itgav/Sord/Pgm3/Ube2j1/Ptpn21/Ncoa4/Ngly1/Ccnd3/Ndrg1/Tmprss2","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",199,0.461285418898821,1.4755822305784,3.87614149765029e-07,1.25100839353164e-06,2.37033169300731e-07,5460,"tags=52%, list=27%, signal=38%","Scd2/Rab1a/Cd9/Psmc6/Actr2/Calr/Ctsc/Sqstm1/Xbp1/Ldlr/Fads1/Canx/Hsp90b1/Hspa5/Add3/Btg2/Aldoa/Serp1/Lta4h/Gsk3b/Nupr1/Cyb5b/Hmgcr/Tpi1/Psma4/Slc6a6/Ppia/Skap2/Insig1/Immt/Pitpnb/Ifi30/Nampt/Scd1/Bhlhe40/Actr3/Rpn1/Bcat1/Cxcr4/Hprt/Psmd14/Cct6a/M6pr/Ebp/Hspa4/Coro1a/Gclc/Ldha/Idh1/Gpi1/G6pdx/Acly/Fads2/Pgm1/Lgmn/Adipor2/Ppp1r15a/Pfkl/Fkbp2/Eef1e1/Psmc4/Glrx/Psmd13/Uchl5/Gsr/Hspa9/Psma3/Tfrc/Elovl5/Eif2s2/Sc5d/Plod2/Tmem97/Ufm1/P4ha1/Ykt6/Abcf2/Edem1/Idi1/Etf1/Psmc2/Ifrd1/Pik3r3/Prdx1/Serpinh1/Tubg1/Tbk1/Psmb5/Vldlr/Ssr1/Uso1/Ddit4/Igfbp5/Ccng1/Ddit3/Slc37a4/Slc1a4/Map2k3/Slc1a5/Hmgcs1/Ero1a/Ube2d3/Sord","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",196,0.460819183385397,1.47329187135701,4.00322685930124e-07,1.25100839353164e-06,2.37033169300731e-07,7617,"tags=59%, list=38%, signal=37%","Jun/Mcl1/Dusp1/Vegfa/Per1/Pde4b/Tsc22d1/Rhob/Klf6/Sqstm1/Junb/Eif1/Ldlr/Phlda1/Nfkbia/Klf9/Btg2/Dennd5a/Irf1/Plpp3/Sdc4/Btg1/Efna1/Nfat5/Gadd45b/Ripk2/Il6st/Hes1/Ccrl2/Pmepa1/Dram1/Plk2/Hbegf/Nampt/Sgk1/Ets2/Zfp36/Bhlhe40/Ier2/Ier3/Rela/Pnrc1/Klf2/Ifit2/Klf4/Abca1/Atp2b1/Cebpd/Icam1/Fosb/B4galt5/Id2/Cflar/Dusp5/Cebpb/Plaur/Ier5/Ppp1r15a/Sik1/Snn/Pfkfb3/Ehd1/Sat1/Btg3/Nfkb1/Gch1/Tnc/Nfe2l2/Relb/Zc3h12a/Rcan1/Bcl6/Ccl5/G0s2/Rnf19b/B4galt1/Tap1/Ccn1/Tnfaip3/Birc2/Birc3/Klf10/Ccnd1/Dnajb4/Map2k3/Ifngr2/Kdm6b/Egr1/Ccl4/Ccnl1/Gpr183/Csf2/Trip10/Fut4/Ackr3/Clcf1/F3/Map3k8/Tnfaip8/Fjx1/Sphk1/Tiparp/Cd44/Yrdc/Ifih1/Slc16a6/Cdkn1a/Dusp4/Bcl3/Nr4a1/Litaf/Gem/Socs3/Cxcl11/Marcks","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN","Hallmark","INRR_vs_NRR = Neonate_Reinfected_IFN - Neonate_Reinfected_NO_IFN | Positive NES/logFC = higher in Neonate_Reinfected_IFN ; Negative NES/logFC = higher in Neonate_Reinfected_NO_IFN"
